year,month,day,genesis,hyundai,kia,lexus,toyota,bmw,benz,,,,,,
2020,4,15,174.4399652,189.6489028,184.5337379,184.3750051,215.2396608,202.366534,197.6967432,,,,,,
2020,4,20,174.1682099,189.6489028,184.5337379,182.468495,215.250615,203.4084147,198.146328,,,,,,
2020,4,25,173.8964545,189.6489028,184.5337379,180.5619849,215.2615692,204.4502953,198.5959128,,,,,,
2020,5,1,173.759756,188.8807429,183.737203,181.7549464,215.2615692,204.938964,199.4458907,,,,,,
2020,5,5,173.5345936,187.176553,182.3537835,180.5619849,215.2615692,204.938964,199.4458907,,,,,,
2020,5,10,173.3094312,185.4723631,180.970364,179.3690234,215.2615692,204.938964,199.4458907,,,,,,
2020,5,15,173.0423979,182.9683342,179.1313389,178.1372145,213.3130859,202.8735134,198.8885921,,,,,,
2020,5,20,173.0423979,181.1279533,177.6166404,176.5036875,212.0765668,202.8395954,198.8885921,,,,,,
2020,5,25,173.0423979,179.2875724,176.1019419,174.8701604,210.8400478,202.8056774,198.8885921,,,,,,
2020,6,1,174.5965109,177.9746487,174.780291,173.7275472,209.9117962,202.8056774,198.8885921,,,,,,
2020,6,5,175.1558412,177.9746487,174.780291,172.3943497,209.0789739,202.8056774,199.4960774,,,,,,
2020,6,10,175.7151714,177.9746487,174.780291,171.0611521,208.2461516,202.8056774,200.1035626,,,,,,
2020,6,15,175.2459968,177.9746487,174.780291,169.8376997,207.9124552,204.3665374,200.8024712,,,,,,
2020,6,20,175.839049,178.6747057,175.1004496,169.8376997,207.9124552,206.9009329,202.8543834,,,,,,
2020,6,25,176.4321013,179.3747628,175.4206082,169.8376997,207.9124552,209.4353284,204.9062957,,,,,,
2020,7,1,177.2394161,181.1458413,177.094441,169.8376997,208.0527496,212.3762818,206.8677393,,,,,,
2020,7,5,178.1211023,183.2039288,178.8141242,170.5945528,208.0916053,215.4776549,209.7556387,,,,,,
2020,7,10,179.0027884,185.2620164,180.5338073,171.3514059,208.130461,218.579028,212.6435381,,,,,,
2020,7,15,179.4078661,186.58712,181.7326649,174.8331784,208.0916053,219.1139174,214.0337422,,,,,,
2020,7,20,180.2474796,188.9651435,183.6988652,177.1587385,208.130461,222.4077984,217.2938803,,,,,,
2020,7,25,181.0870932,191.343167,185.6650655,179.4842986,208.1693166,225.7016794,220.5540185,,,,,,
2020,8,1,180.8953851,192.5679456,186.7112147,179.2088517,209.0666402,228.4400884,222.7450448,,,,,,
2020,8,5,182.3191701,195.0940465,188.6451256,182.2223533,210.5545737,231.9470601,226.0563295,,,,,,
2020,8,10,183.742955,197.6201475,190.5790364,185.235855,212.0425072,235.4540318,229.3676142,,,,,,
2020,8,15,185.2462614,198.9979428,191.2864776,187.8608136,212.9278649,236.2713184,230.7035306,,,,,,
2020,8,20,187.3664042,201.5956482,193.3684197,192.2262467,215.5701285,239.942657,233.8503038,,,,,,
2020,8,25,189.4865471,204.1933537,195.4503618,196.5916798,218.2123921,243.6139955,236.9970771,,,,,,
2020,9,1,190.4890752,205.7237402,196.991122,199.2788941,220.3516216,246.8882025,238.5968777,,,,,,
2020,9,5,192.9198844,208.0825738,199.0548362,204.0495188,223.7658916,250.303753,241.7901956,,,,,,
2020,9,10,195.3506935,210.4414074,201.1185505,208.8201435,227.1801615,253.7193035,244.9835135,,,,,,
2020,9,15,197.8487963,211.811283,202.1727128,211.8006374,229.6113958,254.9672395,247.3937393,,,,,,
2020,9,20,199.52045,213.3898164,203.686991,216.0793701,232.6414785,257.0204094,249.8168935,,,,,,
2020,9,25,201.1921037,214.9683498,205.2012693,220.3581029,235.6715611,259.0735794,252.2400478,,,,,,
2020,10,1,200.5923696,215.3227192,205.7935279,222.3267834,236.831628,259.5643615,252.7709039,,,,,,
2020,10,5,201.2781528,215.9752408,206.6262277,225.4431825,238.9163049,260.5696026,253.9059667,,,,,,
2020,10,10,201.9639359,216.6277625,207.4589274,228.5595817,241.0009819,261.5748436,255.0410296,,,,,,
2020,10,15,202.1004905,216.6524246,207.8504898,229.7795904,241.7421176,261.421624,255.023087,,,,,,
2020,10,20,202.9493659,216.6524246,207.8504898,231.6613659,243.0648631,262.0466146,255.4922078,,,,,,
2020,10,25,203.7982413,216.6524246,207.8504898,233.5431414,244.3876085,262.6716052,255.9613285,,,,,,
2020,11,1,205.5225296,216.3462503,207.8504898,234.7567084,244.8196938,263.6945557,256.2515706,,,,,,
2020,11,5,205.5225296,215.7421158,207.7512449,234.85206,245.5300321,263.6945557,256.2515706,,,,,,
2020,11,10,205.5225296,215.1363032,207.652,234.9474115,246.2423436,263.6945557,256.2515706,,,,,,
2020,11,15,203.9133195,214.4918606,207.1475487,234.9474115,246.6096611,263.0402235,255.741083,,,,,,
2020,11,20,202.4334286,213.6275569,206.516846,234.9474115,246.6214876,262.7064846,255.5160851,,,,,,
2020,11,25,200.9576372,212.7656473,205.8878905,234.9474115,246.6333141,262.3736702,255.2917104,,,,,,
2020,12,1,199.8846232,212.2603929,205.4011273,234.9474115,246.6333141,262.5116808,255.5160851,,,,,,
2020,12,5,198.1333239,211.4265824,204.6020996,234.3387981,246.6333141,262.0281726,255.1281388,,,,,,
2020,12,10,196.3820246,210.5927719,203.8030719,233.7301847,246.6333141,261.5446644,254.7401926,,,,,,
